"","agency_cd","site_no","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no"
"1","USGS","404133073041801","Great South Bay 9 near Browns River, NY","ES",404133,730418,40.6925,-73.0716667,"D","H","NAD83","NAD83","36","36","103","US",NA,"SAYVILLE, NY","  24000",NA,NA,NA,NA,"02030202",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"EST","N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","USGS","404146073074301","Great South Bay 15 near Connetquot River, NY","ES",404146,730743,40.6961111,-73.1286111,"D","H","NAD83","NAD83","36","36","103","US",NA,"BAY SHORE EAST, NY","  24000",NA,NA,NA,NA,"02030202",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"EST","N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","USGS","404200073034301","Great South Bay 8 near Browns River, NY","ES",404200,730343,40.7,-73.0619444,"D","H","NAD83","NAD83","36","36","103","US",NA,"SAYVILLE, NY","  24000",NA,NA,NA,NA,"02030202",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"EST","N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","USGS","404211073061701","Great South Bay 13 near Connetquot River, NY","ES",404211,730617,40.70305556,-73.1047222,"D","H","NAD83","NAD83","36","36","103","US",NA,"SAYVILLE, NY","  24000",NA,NA,NA,NA,"02030202",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"EST","N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","USGS","404213073041801","Great South Bay 7 near Browns River, NY","ES",404213,730418,40.7036111,-73.0716667,"D","H","NAD83","NAD83","36","36","103","US",NA,"SAYVILLE, NY","  24000",NA,NA,NA,NA,"02030202",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"EST","N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","USGS","404213073070801","Great South Bay 14 near Connetquot River, NY","ES",404213,730708,40.7036111,-73.11888889,"D","H","NAD83","NAD83","36","36","103","US",NA,"SAYVILLE, NY","  24000",NA,NA,NA,NA,"02030202",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"EST","N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","USGS","404226073034201","Great South Bay 6 near Browns River, NY","ES",404226,730342,40.7072222,-73.0616667,"D","H","NAD83","NAD83","36","36","103","US",NA,"SAYVILLE, NY","  24000",NA,NA,NA,NA,"02030202",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"EST","N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","USGS","404240073074301","Great South Bay 12 near Connetquot River, NY","ES",404240,730743,40.7111111,-73.1286111,"D","H","NAD83","NAD83","36","36","103","US",NA,"BAY SHORE EAST, NY","  24000",NA,NA,NA,NA,"02030202",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"EST","N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","USGS","404253073065101","Great South Bay 11 near Connetquot River, NY","ES",404253,730651,40.7147222,-73.1141667,"D","H","NAD83","NAD83","36","36","103","US",NA,"SAYVILLE, NY","  24000",NA,NA,NA,NA,"02030202",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"EST","N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","USGS","404254073041701","Great South Bay 5 near Browns River, NY","ES",404254,730417,40.715,-73.07138889,"D","H","NAD83","NAD83","36","36","103","US",NA,"SAYVILLE, NY","  24000",NA,NA,NA,NA,"02030202",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"EST","N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","USGS","404306073034301","Great South Bay 4 near Browns River, NY","ES",404306,730343,40.7183333,-73.0619444,"D","H","NAD83","NAD83","36","36","103","US",NA,"SAYVILLE, NY","  24000",NA,NA,NA,NA,"02030202",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"EST","N",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","USGS","404320073072601","Great South Bay 10 near Connetquot River, NY","ES",404320,730726,40.7222222,-73.12388889,"D","H","NAD83","NAD83","36","36","103","US",NA,"SAYVILLE, NY","  24000",NA,NA,NA,NA,"02030202",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,NA,NA,"EST","N",NA,NA,NA,NA,NA,NA,NA,NA,NA
